experiment,fold,feature,importance
E4_LOOCV,12,receive_weekday_code,0.0
E4_LOOCV,12,receive_week_of_month,0.0
E4_LOOCV,12,receive_day_of_month,0.03254774922425865
E4_LOOCV,13,cutoff_rule,0.0
E4_LOOCV,13,receive_day_code,0.0
E4_LOOCV,13,receive_schedule,0.0
E4_LOOCV,13,receive_date_schedule_status,0.0
E4_LOOCV,13,receive_month_end_flag,0.0
E4_LOOCV,13,limited_receive_schedule_flag,0.5685689904524985
E4_LOOCV,13,cutoff_value_feature,0.032824288042099393
E4_LOOCV,13,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,13,next_receive_day_gap_feature,0.0
E4_LOOCV,13,receive_weekday_code,0.0
E4_LOOCV,13,receive_week_of_month,0.0
E4_LOOCV,13,receive_day_of_month,0.0
E4_LOOCV,14,cutoff_rule,0.0
E4_LOOCV,14,receive_day_code,0.0
E4_LOOCV,14,receive_schedule,0.0
E4_LOOCV,14,receive_date_schedule_status,0.0
E4_LOOCV,14,receive_month_end_flag,0.0
E4_LOOCV,14,limited_receive_schedule_flag,0.5685689904524986
E4_LOOCV,14,cutoff_value_feature,0.0
E4_LOOCV,14,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,14,next_receive_day_gap_feature,0.0
E4_LOOCV,14,receive_weekday_code,0.0
E4_LOOCV,14,receive_week_of_month,0.0
E4_LOOCV,14,receive_day_of_month,0.032824288042099393
E4_LOOCV,15,cutoff_rule,0.0
E4_LOOCV,15,receive_day_code,0.5612591307470657
E4_LOOCV,15,receive_schedule,0.0
E4_LOOCV,15,receive_date_schedule_status,0.0
E4_LOOCV,15,receive_month_end_flag,0.0
E4_LOOCV,15,limited_receive_schedule_flag,0.0
E4_LOOCV,15,cutoff_value_feature,0.0
E4_LOOCV,15,days_to_cutoff_feature,0.40619312002867575
E4_LOOCV,15,next_receive_day_gap_feature,0.0
E4_LOOCV,15,receive_weekday_code,0.0
E4_LOOCV,15,receive_week_of_month,0.0
E4_LOOCV,15,receive_day_of_month,0.03254774922425865
E4_LOOCV,16,cutoff_rule,0.0
E4_LOOCV,16,receive_day_code,0.0
E4_LOOCV,16,receive_schedule,0.5685689904524986
E4_LOOCV,16,receive_date_schedule_status,0.0
E4_LOOCV,16,receive_month_end_flag,0.0
E4_LOOCV,16,limited_receive_schedule_flag,0.0
E4_LOOCV,16,cutoff_value_feature,0.0
E4_LOOCV,16,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,16,next_receive_day_gap_feature,0.0
E4_LOOCV,16,receive_weekday_code,0.0
E4_LOOCV,16,receive_week_of_month,0.0
E4_LOOCV,16,receive_day_of_month,0.032824288042099393
E4_LOOCV,17,cutoff_rule,0.0
E4_LOOCV,17,receive_day_code,0.0
E4_LOOCV,17,receive_schedule,0.5685689904524986
E4_LOOCV,17,receive_date_schedule_status,0.0
E4_LOOCV,17,receive_month_end_flag,0.0
E4_LOOCV,17,limited_receive_schedule_flag,0.0
E4_LOOCV,17,cutoff_value_feature,0.03282428804209939
E4_LOOCV,17,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,17,next_receive_day_gap_feature,0.0
E4_LOOCV,17,receive_weekday_code,0.0
E4_LOOCV,17,receive_week_of_month,0.0
E4_LOOCV,17,receive_day_of_month,0.0
E4_LOOCV,18,cutoff_rule,0.0
E4_LOOCV,18,receive_day_code,0.0
E4_LOOCV,18,receive_schedule,0.0
E4_LOOCV,18,receive_date_schedule_status,0.0
E4_LOOCV,18,receive_month_end_flag,0.0
E4_LOOCV,18,limited_receive_schedule_flag,0.5685689904524986
E4_LOOCV,18,cutoff_value_feature,0.0
E4_LOOCV,18,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,18,next_receive_day_gap_feature,0.0
E4_LOOCV,18,receive_weekday_code,0.0
E4_LOOCV,18,receive_week_of_month,0.0
E4_LOOCV,18,receive_day_of_month,0.032824288042099393
E4_LOOCV,19,cutoff_rule,0.0
E4_LOOCV,19,receive_day_code,0.0
E4_LOOCV,19,receive_schedule,0.0
E4_LOOCV,19,receive_date_schedule_status,0.0
E4_LOOCV,19,receive_month_end_flag,0.0
E4_LOOCV,19,limited_receive_schedule_flag,0.5685689904524985
E4_LOOCV,19,cutoff_value_feature,0.032824288042099393
E4_LOOCV,19,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,19,next_receive_day_gap_feature,0.0
E4_LOOCV,19,receive_weekday_code,0.0
E4_LOOCV,19,receive_week_of_month,0.0
E4_LOOCV,19,receive_day_of_month,0.0
E4_LOOCV,20,cutoff_rule,0.0
E4_LOOCV,20,receive_day_code,0.0
E4_LOOCV,20,receive_schedule,0.0
E4_LOOCV,20,receive_date_schedule_status,0.0
E4_LOOCV,20,receive_month_end_flag,0.0
E4_LOOCV,20,limited_receive_schedule_flag,0.5685689904524985
E4_LOOCV,20,cutoff_value_feature,0.032824288042099393
E4_LOOCV,20,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,20,next_receive_day_gap_feature,0.0
E4_LOOCV,20,receive_weekday_code,0.0
E4_LOOCV,20,receive_week_of_month,0.0
E4_LOOCV,20,receive_day_of_month,0.0
E4_LOOCV,21,cutoff_rule,0.0
E4_LOOCV,21,receive_day_code,0.0
E4_LOOCV,21,receive_schedule,0.0
E4_LOOCV,21,receive_date_schedule_status,0.0
E4_LOOCV,21,receive_month_end_flag,0.0
E4_LOOCV,21,limited_receive_schedule_flag,0.5685689904524985
E4_LOOCV,21,cutoff_value_feature,0.0
E4_LOOCV,21,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,21,next_receive_day_gap_feature,0.0
E4_LOOCV,21,receive_weekday_code,0.0
E4_LOOCV,21,receive_week_of_month,0.0
E4_LOOCV,21,receive_day_of_month,0.032824288042099393
E4_LOOCV,22,cutoff_rule,0.0
E4_LOOCV,22,receive_day_code,0.0
E4_LOOCV,22,receive_schedule,0.0
E4_LOOCV,22,receive_date_schedule_status,0.0
E4_LOOCV,22,receive_month_end_flag,0.0
E4_LOOCV,22,limited_receive_schedule_flag,0.5685689904524985
E4_LOOCV,22,cutoff_value_feature,0.0
E4_LOOCV,22,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,22,next_receive_day_gap_feature,0.0
E4_LOOCV,22,receive_weekday_code,0.0
E4_LOOCV,22,receive_week_of_month,0.0
E4_LOOCV,22,receive_day_of_month,0.032824288042099393
E4_LOOCV,23,cutoff_rule,0.0
E4_LOOCV,23,receive_day_code,0.0
E4_LOOCV,23,receive_schedule,0.0
E4_LOOCV,23,receive_date_schedule_status,0.0
E4_LOOCV,23,receive_month_end_flag,0.0
E4_LOOCV,23,limited_receive_schedule_flag,0.5685689904524986
E4_LOOCV,23,cutoff_value_feature,0.0
E4_LOOCV,23,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,23,next_receive_day_gap_feature,0.0
E4_LOOCV,23,receive_weekday_code,0.0
E4_LOOCV,23,receive_week_of_month,0.0
E4_LOOCV,23,receive_day_of_month,0.032824288042099393
E4_LOOCV,24,cutoff_rule,0.0
E4_LOOCV,24,receive_day_code,0.0
E4_LOOCV,24,receive_schedule,0.0
E4_LOOCV,24,receive_date_schedule_status,0.0
E4_LOOCV,24,receive_month_end_flag,0.0
E4_LOOCV,24,limited_receive_schedule_flag,0.5685689904524986
E4_LOOCV,24,cutoff_value_feature,0.03282428804209939
E4_LOOCV,24,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,24,next_receive_day_gap_feature,0.0
E4_LOOCV,24,receive_weekday_code,0.0
E4_LOOCV,24,receive_week_of_month,0.0
E4_LOOCV,24,receive_day_of_month,0.0
E4_LOOCV,25,cutoff_rule,0.0
E4_LOOCV,25,receive_day_code,0.0
E4_LOOCV,25,receive_schedule,0.0
E4_LOOCV,25,receive_date_schedule_status,0.0
E4_LOOCV,25,receive_month_end_flag,0.0
E4_LOOCV,25,limited_receive_schedule_flag,0.5685689904524985
E4_LOOCV,25,cutoff_value_feature,0.0
E4_LOOCV,25,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,25,next_receive_day_gap_feature,0.0
E4_LOOCV,25,receive_weekday_code,0.0
E4_LOOCV,25,receive_week_of_month,0.0
E4_LOOCV,25,receive_day_of_month,0.032824288042099393
E4_LOOCV,26,cutoff_rule,0.0
E4_LOOCV,26,receive_day_code,0.0
E4_LOOCV,26,receive_schedule,0.0
E4_LOOCV,26,receive_date_schedule_status,0.0
E4_LOOCV,26,receive_month_end_flag,0.0
E4_LOOCV,26,limited_receive_schedule_flag,0.5685689904524986
E4_LOOCV,26,cutoff_value_feature,0.0
E4_LOOCV,26,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,26,next_receive_day_gap_feature,0.0
E4_LOOCV,26,receive_weekday_code,0.0
E4_LOOCV,26,receive_week_of_month,0.0
E4_LOOCV,26,receive_day_of_month,0.032824288042099393
E4_LOOCV,27,cutoff_rule,0.0
E4_LOOCV,27,receive_day_code,0.0
E4_LOOCV,27,receive_schedule,0.0
E4_LOOCV,27,receive_date_schedule_status,0.0
E4_LOOCV,27,receive_month_end_flag,0.0
E4_LOOCV,27,limited_receive_schedule_flag,0.5685689904524986
E4_LOOCV,27,cutoff_value_feature,0.03282428804209939
E4_LOOCV,27,days_to_cutoff_feature,0.398606721505402
E4_LOOCV,27,next_receive_day_gap_feature,0.0
E4_LOOCV,27,receive_weekday_code,0.0
E4_LOOCV,27,receive_week_of_month,0.0
E4_LOOCV,27,receive_day_of_month,0.0
E4_LOOCV,28,cutoff_rule,0.0
E4_LOOCV,28,receive_day_code,0.0
E4_LOOCV,28,receive_schedule,0.0
E4_LOOCV,28,receive_date_schedule_status,0.0
E4_LOOCV,28,receive_month_end_flag,0.0
E4_LOOCV,28,limited_receive_schedule_flag,0.5612591307470657
E4_LOOCV,28,cutoff_value_feature,0.0
E4_LOOCV,28,days_to_cutoff_feature,0.40619312002867575
E4_LOOCV,28,next_receive_day_gap_feature,0.0
E4_LOOCV,28,receive_weekday_code,0.0
E4_LOOCV,28,receive_week_of_month,0.0
E4_LOOCV,28,receive_day_of_month,0.03254774922425865
E4_LOOCV,29,cutoff_rule,0.0
E4_LOOCV,29,receive_day_code,0.0
E4_LOOCV,29,receive_schedule,0.0
E4_LOOCV,29,receive_date_schedule_status,0.0
E4_LOOCV,29,receive_month_end_flag,0.0
E4_LOOCV,29,limited_receive_schedule_flag,0.5612591307470656
E4_LOOCV,29,cutoff_value_feature,0.03254774922425865
E4_LOOCV,29,days_to_cutoff_feature,0.4061931200286757
E4_LOOCV,29,next_receive_day_gap_feature,0.0
E4_LOOCV,29,receive_weekday_code,0.0
E4_LOOCV,29,receive_week_of_month,0.0
E4_LOOCV,29,receive_day_of_month,0.0
E4_LOOCV,30,cutoff_rule,0.0
E4_LOOCV,30,receive_day_code,0.0
E4_LOOCV,30,receive_schedule,0.0
E4_LOOCV,30,receive_date_schedule_status,0.0
E4_LOOCV,30,receive_month_end_flag,0.0
E4_LOOCV,30,limited_receive_schedule_flag,0.5612591307470657
E4_LOOCV,30,cutoff_value_feature,0.03254774922425865
E4_LOOCV,30,days_to_cutoff_feature,0.4061931200286757
E4_LOOCV,30,next_receive_day_gap_feature,0.0
E4_LOOCV,30,receive_weekday_code,0.0
E4_LOOCV,30,receive_week_of_month,0.0
E4_LOOCV,30,receive_day_of_month,0.0
E4_LOOCV,31,cutoff_rule,0.0
E4_LOOCV,31,receive_day_code,0.5400490676359351
E4_LOOCV,31,receive_schedule,0.069107908644108
E4_LOOCV,31,receive_date_schedule_status,0.0
E4_LOOCV,31,receive_month_end_flag,0.0
E4_LOOCV,31,limited_receive_schedule_flag,0.0
E4_LOOCV,31,cutoff_value_feature,0.0
E4_LOOCV,31,days_to_cutoff_feature,0.39084302371995694
E4_LOOCV,31,next_receive_day_gap_feature,0.0
E4_LOOCV,31,receive_weekday_code,0.0
E4_LOOCV,31,receive_week_of_month,0.0
E4_LOOCV,31,receive_day_of_month,0.0
E4_LOOCV,32,cutoff_rule,0.0
E4_LOOCV,32,receive_day_code,0.5685689904524986
E4_LOOCV,32,receive_schedule,0.0
E4_LOOCV,32,receive_date_schedule_status,0.0
E4_LOOCV,32,receive_month_end_flag,0.0
