invoice_no,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,expert_label,expert_reason,_source_excel_row,admin_ground_truth,receive_weekday_code,receive_weekday_name,receive_day_of_month,receive_week_of_month,receive_month_end_flag,limited_receive_schedule_flag,next_receive_day_gap_decision_time,receive_date_schedule_status,cutoff_date_decision_time,cutoff_derivation_note,days_to_cutoff_source,days_to_cutoff_decision_time,cutoff_value_feature,days_to_cutoff_feature,next_receive_day_gap_feature,observation_id
S202605-2835,CUST283,2026-05-20,2026-05-20,ARI,3 days in next month ,NEXT_MONTH_DATE,3.0,"1,2,3,4,5",Everyday,10,NORMAL,LONG_TIME_TO_CUTOFF,35,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,2026-06-03,NEXT_MONTH_DATE; date in next month,10,10.0,3.0,10.0,0.0,S202605-2835
S202605-2831,CUST030,2026-05-20,2026-05-20,AMIT,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,36,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2831
S202605-1781,CUST034,2026-05-20,2026-05-20,AMIT,Max on 3rd in the month,MONTHLY_DATE,3.0,"1,2,3,4,5",Everyday,10,NORMAL,LONG_TIME_TO_CUTOFF,37,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,2026-06-03,MONTHLY_DATE; cutoff date selected from receive_date month or next month,10,10.0,3.0,10.0,0.0,S202605-1781
S202605-2393,CUST328,2026-05-20,2026-05-20,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,HIGH,LIMITED_RECEIVE_DAY,38,Urgent,3,Wednesday,20,3,No,Yes,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2393
S202605-2380,CUST503,2026-05-20,2026-05-20,AMIT,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,39,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2380
S202605-2391,CUST261,2026-05-20,2026-05-21,ARI,No cut off,NO_CUTOFF,0.0,"2,4",Tuesday & Thursday,999,HIGH,LIMITED_RECEIVE_DAY,40,Urgent,3,Wednesday,20,3,No,Yes,1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,1.0,S202605-2391
S202605-2382,CUST079,2026-05-20,2026-05-20,ROHMAN,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,7,NORMAL,LONG_TIME_TO_CUTOFF,41,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,7,7.0,0.0,7.0,0.0,S202605-2382
S202605-2394,CUST332,2026-05-20,2026-05-20,ARI,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,42,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2394
S202605-2395,CUST364,2026-05-20,2026-05-20,ARI,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,43,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2395
S202605-2387,CUST198,2026-05-20,2026-05-21,ARI,No Cut off,NO_CUTOFF,0.0,"2,4",Tuesday & Thursday,999,HIGH,LIMITED_RECEIVE_DAY,44,Urgent,3,Wednesday,20,3,No,Yes,1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,1.0,S202605-2387
S202605-2390,CUST238,2026-05-20,2026-05-20,ARI,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,45,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2390
S202605-2386,CUST150,2026-05-20,2026-05-20,AMIT,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,7,NORMAL,LONG_TIME_TO_CUTOFF,46,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,7,7.0,0.0,7.0,0.0,S202605-2386
S202605-2384,CUST135,2026-05-20,2026-05-20,ROHMAN,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,47,Not Urgent,3,Wednesday,20,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-2384
S202605-0608,CUST031,2026-05-21,2026-05-21,AMIT,"Submit dropbox maks date of 15 in the next month (M+1, H+15)",NEXT_MONTH_DATE,15.0,"1,2,3,4,5",Everyday,21,NORMAL,LONG_TIME_TO_CUTOFF,48,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,2026-06-15,NEXT_MONTH_DATE; date in next month,21,17.0,15.0,17.0,0.0,S202605-0608
S202605-0395,CUST382,2026-05-21,2026-05-21,AMIT,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,2,HIGH,CUTOFF_NEAR,49,Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,2026-05-25,MONTHLY_DATE; cutoff date selected from receive_date month or next month,2,2.0,25.0,2.0,0.0,S202605-0395
S202605-0406,CUST108,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,50,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0406
S202605-0412,CUST281,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,51,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0412
S202605-0557,CUST013,2026-05-21,2026-05-21,ROHMAN,End of month,END_MONTH,0.0,"2,4,5","Tuesday,Thursday & Friday",6,HIGH,LIMITED_RECEIVE_DAY,52,Urgent,4,Thursday,21,3,No,Yes,0.0,VALID_RECEIVE_DAY,2026-05-29,END_MONTH; last workday of receive month,6,6.0,0.0,6.0,0.0,S202605-0557
S202605-0419,CUST101,2026-05-21,2026-05-22,ROHMAN,Max on 3th in the next month,NEXT_MONTH_DATE,3.0,"1,3,5","Monday, Wednesday, Friday",9,HIGH,LIMITED_RECEIVE_DAY,53,Urgent,4,Thursday,21,3,No,Yes,1.0,NEXT_RECEIVE_DAY_AVAILABLE_LATER,2026-06-03,NEXT_MONTH_DATE; date in next month,9,9.0,3.0,9.0,1.0,S202605-0419
S202605-0586,CUST069,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,4","Monday, Tuesday & Thursday",999,HIGH,LIMITED_RECEIVE_DAY,54,Urgent,4,Thursday,21,3,No,Yes,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0586
S202605-0587,CUST345,2026-05-21,2026-05-21,ROHMAN,3 days in next month ,NEXT_MONTH_DATE,3.0,"2,4",Tuesday & Thursday,9,HIGH,LIMITED_RECEIVE_DAY,55,Urgent,4,Thursday,21,3,No,Yes,0.0,VALID_RECEIVE_DAY,2026-06-03,NEXT_MONTH_DATE; date in next month,9,9.0,3.0,9.0,0.0,S202605-0587
S202605-0590,CUST287,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,NORMAL,NO_CUTOFF,56,Not Urgent,4,Thursday,21,3,No,No,0.0,VALID_RECEIVE_DAY,,NO_CUTOFF; no cutoff date required,999,999.0,0.0,999.0,0.0,S202605-0590
