invoice_no,customer_name,customer_name_masking,receive_date,sent_date,Driver,cutoff_type,cutoff_rule,cutoff_value,receive_day_code,receive_schedule,days_to_cutoff,next_receive_day_gap,missed_receive_schedule,month_end_flag,weekday_receive,expert_label,expert_reason,rule_based_label,rule_based_reason,cutoff_value_feature,receive_date_feature,receive_day_code_feature,next_receive_day_gap_derived,next_receive_day_gap_experiment,missed_receive_schedule_derived,missed_receive_schedule_experiment,month_end_flag_derived,month_end_flag_experiment,Prediction_RuleBased,RuleBased_RuleID,RuleBased_Reason,Experiment_Split,Prediction_DT
S202605-2393,PT. SURYAMAS GEMILANG LUBRICANT,CUST328,2026-05-20,2026-05-20,AMIT,No cut off,NO_CUTOFF,0.0,3,Wednesday,999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-20,3,0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-2380,PT SMESSINDO LUBRITECH,CUST503,2026-05-20,2026-05-20,AMIT,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2391,PT. OJI SINAR MAS PACKAGING,CUST261,2026-05-20,2026-05-21,ARI,No cut off,NO_CUTOFF,0.0,"2,4",Tuesday & Thursday,999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-20,"2,4",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,train,HIGH
S202605-2382,PT. FUJI KINZOKU INDONESIA,CUST079,2026-05-20,2026-05-20,ROHMAN,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,8,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-2394,PT. TAIYO KATECS INDONESIA,CUST332,2026-05-20,2026-05-20,ARI,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2395,PT. TSUJIKAWA INDONESIA,CUST364,2026-05-20,2026-05-20,ARI,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2387,PT. KYOWA INDONESIA,CUST198,2026-05-20,2026-05-21,ARI,No Cut off,NO_CUTOFF,0.0,"2,4",Tuesday & Thursday,999,,No (On Schedule),,,HIGH,LIMITED_RECEIVE_DAY,,,0,2026-05-20,"2,4",0.0,0.0,No (On Schedule),No (On Schedule),No,No,HIGH,R7,receive_schedule terbatas dan next_receive_day_gap <= 1.,test,HIGH
S202605-2390,PT. NAMICOH INDONESIA COMPONENT,CUST238,2026-05-20,2026-05-20,ARI,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-2386,PT. INDONESIA STEEL TUBE WORKS,CUST150,2026-05-20,2026-05-20,AMIT,End of month,END_MONTH,0.0,"1,2,3,4,5",Everyday,8,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,NORMAL
S202605-2384,PT. ICHII INDUSTRIES INDONESIA,CUST135,2026-05-20,2026-05-20,ROHMAN,No Cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-20,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
S202605-0608,PT. ASTRA HONDA MOTOR,CUST031,2026-05-21,2026-05-21,AMIT,"Submit dropbox maks date of 15 in the next month (M+1, H+15)",NEXT_MONTH_DATE,15.0,"1,2,3,4,5",Everyday,17,,No (On Schedule),,,NORMAL,LONG_TIME_TO_CUTOFF,,,15,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R11,cutoff masih lebih dari 10 hari dan tidak memenuhi R1-R9.,train,NORMAL
S202605-0395,PT. YAMAHA MOTOR ELECTRONICS INDONESIA,CUST382,2026-05-21,2026-05-21,AMIT,Max on 25th in every month,MONTHLY_DATE,25.0,"1,2,3,4,5",Everyday,3,,No (On Schedule),,,HIGH,CUTOFF_NEAR,,,25,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,MEDIUM,R8,cutoff masih dalam rentang pemantauan 3-10 hari dan tidak memenuhi R1-R7.,train,HIGH
S202605-0406,PT. HEKIKAI INDONESIA,CUST108,2026-05-21,2026-05-21,ROHMAN,No cut off,NO_CUTOFF,0.0,"1,2,3,4,5",Everyday,999,,No (On Schedule),,,NORMAL,NO_CUTOFF,,,0,2026-05-21,"1,2,3,4,5",0.0,0.0,No (On Schedule),No (On Schedule),No,No,NORMAL,R10,"NO_CUTOFF, jadwal tidak terlewat, dan tidak terdapat risiko jadwal penerimaan.",train,NORMAL
